source,target
Multiple stackbased buffer overflows in ModbusDrv.exe in Schneider Electric Modbus Serial Driver 1.10 through 3.2 allow remote attackers to execute arbitrary code via a large buffersize value in a Modbus Application Header. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
NETGEAR Smart Storage Smart Home NETGEAR ReadyNAS RN628x Linux Linux Debian5+deb8u7 netgear1 Debian 5+deb8u7 netgearl ,Improper Neutralization of Special Elements
Baxter ExactaMix EM 2400 versions 1.10 1.11 1.13 1.14 and ExactaMix EM1200 Versions 1.1 1.2 1.4 and 1.5 does not restrict access to the USB interface from an unauthorized user with physical access. Successful exploitation of this vulnerability may allow an attacker with physical access to the system the ability to load an unauthorized payload or unauthorized access to the hard drive by booting a live USB OS. This could impact confidentiality and integrity of the system and risk exposure of sensitive information including PHI. ,Missing Authorization
TEKNOTEL CBW700N 81.447.392110.729.024 devices allow remote attackers to discover credentials via iso.3.6.1.4.1.4491.2.4.1.1.6.1.1.0 and iso.3.6.1.4.1.4491.2.4.1.1.6.1.2.0 SNMP requests. ,Insufficiently Protected Credentials
Certain NETGEAR devices are affected by a stackbased buffer overflow by an unauthenticated attacker. This affects D7800 before 1.0.1.30 EX2700 before 1.0.1.28 R6100 before 1.0.1.20 R7500 before 1.0.0.118 R7500v2 before 1.0.3.24 R7800 before 1.0.2.40 R9000 before 1.0.2.52 WN2000RPTv3 before 1.0.1.20 WN3000RPv3 before 1.0.2.50 WN3100RPv2 before 1.0.0.56 WNDR3700v4 before 1.0.2.96 WNDR4300 before 1.0.2.98 WNDR4300v2 before 1.0.0.50 and WNDR4500v3 before 1.0.0.50. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
HTTP.sys in Microsoft Windows 7 SP1 Windows Server 2008 R2 SP1 Windows 8 Windows 8.1 and Windows Server 2012 Gold and R2 allows remote attackers to execute arbitrary code via crafted HTTP requests aka HTTP.sys Remote Code Execution Vulnerability. ,Improper Neutralization of Special Elements
Philips Ultrasound system Medical NA ClearVue 850 Unknown,Improper Access Control
In firmware version MS_2.6.9900 of Columbia Weather MicroServer a stored Crosssite scripting (XSS) vulnerability allows remote authenticated users to inject arbitrary web script via changestationname.php. ,Improper Neutralization of Special Elements
Siemens SINEMA Server before 12 SP1 allows remote attackers to cause a denial of service (webinterface outage) via crafted HTTP requests to port (1) 4999 or (2) 80. ,Improper Input Validation
Buffer overflow in the web server on Cisco DPC2203 and EPC2203 devices with firmware r1_customer_image allows remote attackers to execute arbitrary code via a crafted HTTP request aka Bug ID CSCuv05935. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Samsung Smart Hub Smart Home SmartThings Groovy IDE STHETH250 Unknown,Improper Restriction of Operations within the Bounds of a Memory Buffer
Microsoft Server Message Block 1.0 (SMBv1) allows an information disclosure vulnerability in the way that Microsoft Windows Server 2008 SP2 and R2 SP1 Windows 7 SP1 Windows 8.1 Windows Server 2012 Gold and R2 Windows RT 8.1 Windows 10 Gold 1511 1607 and 1703 and Windows Server 2016 handles certain requests aka Windows SMB Information Disclosure Vulnerability. This CVE ID is unique from CVE20170267 CVE20170268 CVE20170270 CVE20170271 CVE20170274 and CVE20170276. ,Exposure of Sensitive Information to an Unauthorized Actor
Tenda WiFi Router Telecomm TENDA AC15 AC15 Linux,Improper Access Control
An issue was discovered on Cerner Connectivity Engine (CCE) 4 devices. The hostname timezone and NTP serverConfigurations on the CCE device are vulnerable to command injection by sending a craftedConfiguration file over the network. ,Improper Initialization
The GPT library in the Telegyr 8979 Master Protocol application in SUBNET SubSTATION Server 2 before SSNET 2.12 HF18808 allows remote attackers to cause a denial of service (persistent service crash) via a long RTUtoMaster message. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
A Missing Authorization issue was discovered in Rockwell Automation PanelView Plus 6 7001500 6.00.04 6.00.05 6.00.42 6.0020140306 6.10.20121012 6.1020140122 7.0020121012 7.0020130108 7.0020130325 7.0020130619 7.0020140128 7.0020140310 7.0020140429 7.0020140621 7.0020140729 7.0020141022 8.0020140730 and 8.0020141023. There is no authorization check when connecting to the device allowing an attacker remote access. ,Missing Authorization
EPON CPEWiFi devices 2.0.4X000 are vulnerable to escalation of privileges by sending cooLogin=1 cooUser=admin and timestamp=1 cookies. ,External Control of Critical State Data
 Rockwell Automation AllenBradley MicroLogix controller 1100 1200 1400 and 1500; SLC 500 controller platform; and PLC5 controller platform when Static status is not enabled allow remote attackers to cause a denial of service via messages that trigger modification of status bits. ,Protection Mechanism Failure
DLink WiFi Router Telecomm DLink DIR859 DIR859 Linux,Exposure of Sensitive Information to an Unauthorized Actor
Baxter Compounding System Medical NA EM2400 Unknown,Missing Encryption of Sensitive Data
On Draytek Vigor3900 Vigor2960 and Vigor 300B devices before 1.5.1.1 there are some commandinjection vulnerabilities in the mainfunction.cgi file. ,Improper Neutralization of Special Elements
Insufficient file protection in install routine for Intel(R) Data Center Manager SDK before version 5.0.2 may allow an authenticated user to potentially enable information disclosure via local access. ,Improper Neutralization of Special Elements
MASTER IPCAMERA01 3.3.4.2103 devices allow remote attackers to obtain sensitive information via a crafted HTTP request as demonstrated by the username password andConfiguration settings. ,Exposure of Sensitive Information to an Unauthorized Actor
Cisco WiFi Router Telecomm Cisco RV340 VPN Router +device:router RV340 Linux,Improper Control of DynamicallyManaged Code Resources
Huawei XH620 V3 XH622 V3 and XH628 V3 servers with software before V100R003C00SPC610 RH1288 V3 servers with software before V100R003C00SPC613 RH2288 V3 servers with software before V100R003C00SPC617 and RH2288H V3 servers with software before V100R003C00SPC515 allow remote attackers to obtain passwords via a bruteforce attack related to lack of authentication protection mechanisms. ,Improper Authorization
OSRAM SYLVANIA Osram Lightify Pro before 20160726 allows attackers to obtain sensitive information by reading screenshots underprivate var mobile Containers Data Application. ,Exposure of Sensitive Information to an Unauthorized Actor
Asus Smart Bridge Smart Home NA HG100 Unknown,Missing Encryption of Sensitive Data
diag_ping.cmd on DLink DSL2640U devices with firmware IM_1.00 and ME_1.00 and DSL2540U devices with firmware ME_1.00 allows authenticated remote attackers to execute arbitrary OS commands via shell metacharacters in the ipaddr field of an HTTP GET request. ,Improper Neutralization of Special Elements
An unquoted search path or element in RSLinx Classic Versions 3.90.01 and prior and FactoryTalk Linx Gateway Versions 3.90.00 and prior may allow an authorized but nonprivileged local user to execute arbitrary code and allow a threat actor to escalate user privileges on the affected workstation. ,Exposure of Resource to Wrong Sphere
The Simple Network Management Protocol (SNMP) subsystem of Cisco IOS 12.0 through 12.4 and 15.0 through 15.6 and IOS XE 2.2 through 3.17 contains multiple vulnerabilities that could allow an authenticated remote attacker to remotely execute code on an affected system or cause an affected system to reload. An attacker could exploit these vulnerabilities by sending a crafted SNMP packet to an affected system via IPv4 or IPv6. Only traffic directed to an affected system can be used to exploit these vulnerabilities. The vulnerabilities are due to a buffer overflow condition in the SNMP subsystem of the affected software. The vulnerabilities affect all versions of SNMP: Versions 1 2c and 3. To exploit these vulnerabilities via SNMP Version 2c or earlier the attacker must know the SNMP readonly community string for the affected system. To exploit these vulnerabilities via SNMP Version 3 the attacker must have user credentials for the affected system. All devices that have enabled SNMP and have not explicitly excluded the affected MIBs or OIDs should be considered vulnerable. Cisco Bug IDs: CSCve89865 CSCsy56638. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
An insecure communication was found between a user and the Orpak SiteOmat management console for all known versions due to an invalid SSL certificate. The attack allows for an eavesdropper to capture the communication and decrypt the data. ,Cryptographic Issues
ABB PCM600 before 2.7 uses an improper hash algorithm for the main application password which makes it easier for local users to obtain sensitive cleartext information by leveraging read access to the ACTConfigConfiguration file. ,Cryptographic Issues
Multiple stackbased buffer overflows in an unspecified DLL file in Advantech WebAccess before 8.0_20150816 allow remote attackers to execute arbitrary code via a crafted file that triggers long string arguments to functions. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Technicolor WiFi Router Telecomm NA TC7337 Unknown,Improper Neutralization of Special Elements
WECON Technology PI Studio HMI versions 4.1.9 and prior and PI Studio versions 4.2.34 and prior lacks proper validation of usersupplied data which may result in a read past the end of an allocated object. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Baxter Multiple Therapies System Medical NA PrismaFlex Unknown,Missing Encryption of Sensitive Data
All versions up to V3.03.10.B23P2 of ZTE ZXR10 8905E product are impacted by TCP Initial Sequence Number (ISN) reuse vulnerability which can generate easily predictable ISN and allows remote attackers to spoof connections. ,Improper Authentication
Multiple IO DATA network camera products (TSWRLP firmware Ver.1.09.04 and earlier TSWRLA firmware Ver.1.09.04 and earlier TSWRLP E firmware Ver.1.09.04 and earlier) allow an attacker on the same network segment to bypass access restriction to add files on a specific directory that may result in executing arbitrary OS commands code or information including credentials leakage or alteration. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
A CrossSite Scripting issue was discovered in OSIsoft PI Integrator for Business Analytics before 2016 R2 PI Integrator for Microsoft Azure before 2016 R2 SP1 and PI Integrator for SAP HANA before 2017. An attacker may be able to upload a malicious script that attempts to redirect users to a malicious web site. ,Improper Neutralization of Special Elements
Alcatel Mobile Router Telecomm NAUnknown,Improper Access Control
Crosssite scripting (XSS) vulnerability in bwerrdn.asp in Advantech BroadWin WebAccess before 7.0 allows remote attackers to inject arbitrary web script or HTML via unspecified parameters. ,Improper Neutralization of Special Elements
Integer overflow in the Kernel service in Advantech WebAccess before 8.1 allows remote attackers to execute arbitrary code or cause a denial of service (stackbased buffer overflow) via a crafted RPC request. ,Numeric Errors
Open redirect vulnerability in an unspecified web application in Siemens WinCC 7.0 SP3 before Update 2 allows remote attackers to redirect users to arbitrary web sites and conduct phishing attacks via a URL in a GET request. ,Improper Input Validation
Ecava IntegraXor SCADA Server Stable 4.1.4360 and earlier and Beta 4.1.4392 and earlier allows remote attackers to discover full pathnames via an application tag. ,Exposure of Sensitive Information to an Unauthorized Actor
Advantech EKI132x devices with firmware before 20151231 allow remote attackers to bypass authentication via unspecified vectors. ,Improper Authentication
Crosssite request forgery (CSRF) vulnerability on IO DATA DEVICE HVLA2.0 HVLA3.0 HVLA4.0 HVLAT1.0S HVLAT2.0 HVLAT3.0 HVLAT4.0 HVLAT2.0A HVLAT3.0A and HVLAT4.0A devices with firmware before 2.04 allows remote attackers to hijack the authentication of arbitrary users for requests that delete content. ,Insufficient Verification of Data Authenticity
The Quantenna WiFi Controller on Telus Actiontec WEB6000Q v1.1.02.22 allows login with root level access with the user root and an empty password by using the enabled onboard UART headers. ,Improper Authentication
Baxter Compounding System Medical NA EM2400 Unknown,Missing Authorization
An issue was discovered on TPLink TLWR886N 6.0 2.3.4 and TLWR886N 7.0 1.1.0 devices. Authenticated attackers can crash router services (e.g. inetd HTTP DNS and UPnP) via long JSON data for wireless wlan_host_2g isolate. ,Improper Authorization
Crosssite scripting (XSS) vulnerability in Sauter EYWS505F0x0 moduWeb Vision before 1.6.0 allows remote authenticated users to inject arbitrary web script or HTML via a crafted query. ,Improper Neutralization of Special Elements
An issue was discovered in Moxa OnCell OnCellG3470ALTE AWK1131A 3131A 4131A Series AWK3191 Series AWK5232 6232 Series AWK1121 1127 Series WAC1001 V2 Series WAC2004 Series AWK3121M12RTG Series AWK3131M12RCC Series AWK5232M12RCC Series TAP6226 Series AWK3121 4121 Series AWK3131 4131 Series and AWK5222 6222 Series. User is able to execute arbitrary OS commands on the server. ,Permissions; Privileges; and Access Controls
Siemens RUGGEDCOM ROX I (all versions) allow an authenticated user to bypass access restrictions in the web interface at port 10000 TCP to obtain privileged file system access or changeConfiguration settings. ,Improper Authentication
Advantech BroadWin WebAccess before 7.0 allows remote attackers to (1) enable date and time syncing or (2) disable date and time syncing via a crafted URL. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
DLink WiFi Router Telecomm DIR868L DIR868L Linux,Improper Access Control
LCDS Laquis SCADA prior to version 4.1.0.4150 allows an authentication bypass which may allow an attacker access to sensitive data. ,Improper Authentication
 An exploitable denialofservice vulnerability exists in the mdnscap binary of the CUJO Smart Firewall running firmware 7003. When parsing labels in mDNS packets the firewall unsafely handles label compression pointers leading to an uncontrolled recursion that eventually exhausts the stack crashing the mdnscap process. An unauthenticated attacker can send an mDNS message to trigger this vulnerability. ,Insufficient Control Flow Management
GE Communicator all versions prior to 4.0.517 allows a nonadministrative user to replace the uninstaller with a malicious version which could allow an attacker to gain administrator privileges to the system. ,Insufficient Control Flow Management
An issue was discovered on DLink DIR601 2.02NA devices. Being local to the network and having only User account (which is a low privilege account) access an attacker can intercept the response from a POST request to obtain Admin rights due to the admin password being displayed in XML. ,Missing Encryption of Sensitive Data
DLink WiFi Router Telecomm DLink DIR823G DIR823G Unknown,Improper Access Control
An issue was discovered on Phoenix Contact AXC F 2152 (No.2404267) before 2019.0 LTS and AXC F 2152 STARTERKIT (No.1046568) before 2019.0 LTS devices. Protocol Fuzzing on PC WORX Engineer by a man in the middle attacker stops the PLC service. The device must be rebooted or the PLC service must be restarted manually via a Linux shell. ,Improper Authentication
Western Digital WD My Cloud v04.05.00320 devices embed the session token (aka PHPSESSID) in filenames which makes it easier for attackers to bypass authentication by listing a directory. NOTE: this can be exploited in conjunction with CVE20187171 for remote authentication bypass within a product that uses My Cloud. ,Improper Authentication
A vulnerability has been identified in SCALANCE X200 switch family (incl. SIPLUS NET variants) (All Versions < V5.2.4) SCALANCE X200IRT switch family (incl. SIPLUS NET variants) (All versions) SCALANCE X300 switch family (incl. X408 and SIPLUS NET variants) (All versions < V4.1.3) SCALANCE X4143E (All versions). The affected devices store passwords in a recoverable format. An attacker may extract and recover device passwords from the deviceConfiguration. Successful exploitation requires access to a deviceConfiguration backup and impacts confidentiality of the stored passwords. At the time of advisory publication no public exploitation of this security vulnerability was known. ,Insufficiently Protected Credentials
DLink WiFi Router Telecomm DLink DIR822 DIR822 Linux,Improper Neutralization of Special Elements
Neato Botvac Smart Vacuum Cleaner Smart Home Neato Botvac Connected Neato Botvac Connected 2 2 0 Linux Linux 3 18 20 ,Improper Access Control
An exploitable stackbased buffer overflow vulnerability exists in the 802dot1xclientcert.cgi functionality of Sony IPELA E Series Camera G5 firmware 1.87.00. A specially crafted POST can cause a stackbased buffer overflow resulting in remote code execution. An attacker can send a malicious POST request to trigger this vulnerability. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Certain NETGEAR devices are affected by unauthenticated firmware downgrade. This affects WAC505 before 5.0.0.17 and WAC510 before 5.0.0.17. ,Improper Neutralization of Special Elements
The webService binary on Insteon HD IP Camera White 2864222 devices has a Buffer Overflow via a crafted pid pwd or usr key in a GET request on port 34100. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Certain NETGEAR devices are affected by a stackbased buffer overflow by an unauthenticated attacker. This affects R6100 before 1.0.1.20 R9000 before 1.0.2.52 WNDR3700v4 before 1.0.2.96 WNDR4300 before 1.0.2.98 WNDR4300v2 before 1.0.0.50 and WNDR4500v3 before 1.0.0.50. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Buffer overflow in apply.cgi on TRENDnet TEW632BRP 1.010B32 and TEW673GRU devices allows attackers to hijack the control flow to any attackerspecified location by crafting a POST request payload (with authentication). ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Certain NETGEAR devices are affected by command injection by an authenticated user. This affects D7800 before 1.0.1.44 EX6150v2 before 1.0.1.70 EX6100v2 before 1.0.1.70 EX6200v2 before 1.0.1.64 EX7300 before 1.0.2.136 EX6400 before 1.0.2.136 R6100 before 1.0.1.16 R7500 before 1.0.0.110 R7800 before 1.0.2.32 R9000 before 1.0.4.12 WN3000RPv2 before 1.0.0.56 WN3000RPv3 before 1.0.2.52 WNDR4300v2 before 1.0.0.50 and WNDR4500v3 before 1.0.0.50. ,Improper Neutralization of Special Elements
Tenda WiFi Router Telecomm Tenda AC7 AC7 Linux,Improper Restriction of Operations within the Bounds of a Memory Buffer
The admin web interface on Technicolor MediaAccess TG789vac v2 HP devices with firmware v16.3.7190276100520161004084353 displays unsanitised user input which allows an unauthenticated malicious user to embed JavaScript into the Log viewer interface via a crafted HTTP Referer header aka XSS. ,Improper Neutralization of Special Elements
Certain NETGEAR devices are affected by command injection by an authenticated user. This affects CBR40 before 2.5.0.10 RBK752 before 3.2.15.25 RBR750 before 3.2.15.25 RBS750 before 3.2.15.25 RBK852 before 3.2.15.25 RBR850 before 3.2.15.25 and RBS850 before 3.2.15.25. ,Improper Neutralization of Special Elements
NETGEAR XR500 devices before 2.3.2.32 are affected by authentication bypass. ,Improper Authentication
NETGEAR WiFi Router Telecomm NETGEAR R6100 R6100 Linux Linux routeros rb2011uias ,Improper Restriction of Operations within the Bounds of a Memory Buffer
NETGEAR WiFi Router Telecomm NETGEAR R6220 R6220 Linux,Improper Neutralization of Special Elements
Intelbras WiFi Router Telecomm NA IWR 3000N Unknown,Improper Access Control
LCDS Laquis SCADA prior to version 4.1.0.4150 allows a usersupplied path in file operations prior to proper validation. An attacker can leverage this vulnerability to disclose sensitive information under the context of the web server process. ,Exposure of Resource to Wrong Sphere
fileshare.cmd on Telus Actiontec T2200H T2200H31.128L.03 devices allows OS Command Injection via shell metacharacters in the smbdUserid or smbdPasswd field. ,Improper Neutralization of Special Elements
NETGEAR WiFi Router Telecomm NETGEAR D3600 D3600Linux Linux dropbear 0 48 ,Improper Neutralization of Special Elements
Huawei USG9560 9520 9580 before V300R001C01SPC300 allows remote attackers to cause a memory leak or denial of service (memory exhaustion reboot and MPU switchover) via a crafted website. ,Uncontrolled Resource Consumption
Dlink DSL2750U ISL2750UEME3.V1E devices allow approximately 90 seconds of access to the control panel after a restart before MAC address filtering rules become active. ,Improper Authentication
TOTOLINK WiFi Router Telecomm TotolinkA3002RU A3002RU Linux,Improper Neutralization of Special Elements
A vulnerability has been identified in SIMATIC HMI Comfort Panels 422 (All versions < V15.1 Update 1) SIMATIC HMI Comfort Outdoor Panels 7 & 15 (All versions < V15.1 Update 1) SIMATIC HMI KTP Mobile Panels KTP400F KTP700 KTP700F KTP900 und KTP900F (All versions < V15.1 Update 1) SIMATIC WinCC Runtime Advanced (All versions < V15.1 Update 1) SIMATIC WinCC Runtime Professional (All versions < V15.1 Update 1) SIMATIC WinCC (TIA Portal) (All versions < V15.1 Update 1) SIMATIC HMI Classic Devices (TP MP OP MP Mobile Panel) (All versions). An attacker with network access to affected devices could potentially obtain a TLS session key. If the attacker is able to observe TLS traffic between a legitimate user and the device then the attacker could decrypt the TLS traffic. The security vulnerability could be exploited by an attacker who has network access to the web interface of the device and who is able to observe TLS traffic between legitimate users and the web interface of the affected device. The vulnerability could impact the confidentiality of the communication between the affected device and a legitimate user. At the time of advisory publication no public exploitation of the security vulnerability was known. ,Cryptographic Issues
NETGEAR WiFi system Telecomm NA RBK752 Unknown,Insufficiently Protected Credentials
 The Schneider Electric Quantum Ethernet Module as used in the Quantum 140NOE771* and 140CPU65* modules the Premium TSXETY* and TSXP57* modules the M340 BMXNOE01* and BMXP3420* modules and the STB DIO STBNIC2212 and STBNIP2* modules uses hardcoded passwords for the (1) AUTCSE (2) AUT_CSE (3) fdrusers (4) ftpuser (5) loader (6) nic2212 (7) nimrohs2212 (8) nip2212 (9) noe77111_v500 (10) ntpupdate (11) pcfactory (12) sysdiag (13) target (14) test (15) USER and (16) webserver accounts which makes it easier for remote attackers to obtain access via the (a) TELNET (b) Windriver Debug or (c) FTP port. ,Violation of Secure Design Principles
eQ3 Smart Home Smart Home HomeMatic WebUI CCU2 CCU3 Linux,Improper Access Control
Moxa Secure Router EDRG903 devices before 3.4.12 allow remote attackers to cause a denial of service (cold start) by sending two crafted ping requests. ,Improper Input Validation
Multiple directory traversal vulnerabilities in Siemens WinCC 7.0 SP3 before Update 2 allow remote authenticated users to read arbitrary files via a crafted parameter in a URL. ,Exposure of Resource to Wrong Sphere
Circontrol CirCarLife all versions prior to 4.3.1 authentication to the device can be bypassed by entering the URL of a specific page. ,Improper Authentication
Directory traversal vulnerability in configure_manage.php in SeaWell Networks Spectrum SDC 02.05.00. ,Exposure of Resource to Wrong Sphere
Hospira LifeCare PCA Infusion System 5.0 and earlier and possibly other versions allows remote attackers to cause a denial of service (forced manual reboot) via a flood of TCP packets. ,Software Development
Philips Cardiograph Medical NA TC70 Unknown,Exposure of Resource to Wrong Sphere
Belkin Smart CrockPot Smart Home NA F7C045Unknown,Improper Neutralization of Special Elements
An exploitable crosssite request forgery vulnerability exists in the ACEManager functionality of Sierra Wireless AirLink ES450 FW 4.9.3. A specially crafted HTTP request can cause an authenticated user to perform privileged requests unknowingly resulting in unauthenticated requests being requested through an authenticated user. An attacker can get an authenticated user to request authenticated pages on the attacker's behalf to trigger this vulnerability. ,Insufficient Verification of Data Authenticity
Cisco Nexus 9000 Application Centric Infrastructure (ACI) Mode switches with software before 11.0(1c) allow remote attackers to cause a denial of service (device reload) via an IPv4 ICMP packet with the IP Record Route option aka Bug ID CSCuq57512. ,Resource Management Errors
Multiple heapbased buffer overflows in Advantech WebAccess before 8.1 allow remote attackers to execute arbitrary code via unspecified vectors. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Certain NETGEAR devices are affected by a stackbased buffer overflow by an authenticated user. This affects D6100 before 1.0.0.57 R6100 before 1.0.1.20 R7800 before 1.0.2.40 R9000 before 1.0.3.6 WNDR3700v4 before 1.0.2.92 WNDR4300 before 1.0.2.94 WNDR4300v2 before 1.0.0.50 WNDR4500v3 before 1.0.0.50 and WNR2000v5 before 1.0.0.62. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
iSmartAlarm Smart Alarm Smart Home NA CubeOne Unknown,Exposure of Sensitive Information to an Unauthorized Actor
On DLink DIR823G devices ExportSettings.sh upload_settings.cgi GetDownLoadSyslog.sh and upload_firmware.cgi do not require authentication which allows remote attackers to execute arbitrary code. ,Improper Authentication
DLink WiFi Camera Smart Home DCS5020L DCS5020L Linux,Exposure of Sensitive Information to an Unauthorized Actor
Password disclosure in password.htm in TOTOLINK A3002RU version 1.0.8 allows attackers to obtain the plaintext password for the admin user by making a GET request for password.htm. ,Improper Neutralization of Special Elements
SQL injection vulnerability in Invensys Wonderware Information Server (WIS) 4.0 SP1SP1 4.5 Portal and 5.0 Portal allows remote attackers to execute arbitrary SQL commands via unspecified vectors. ,Improper Neutralization of Special Elements
An issue was discovered on Xiaomi Mi WiFi R3G devices before 2.28.23stable. There is a directory traversal vulnerability to read arbitrary files via a misconfigured NGINX alias as demonstrated by apithirdparty download extdisks.. etc config account. With this vulnerability the attacker can bypass authentication. ,Exposure of Resource to Wrong Sphere
The Emerson Process Management ROC800 RTU with software 3.50 and earlier DL8000 RTU with software 2.30 and earlier and ROC800L RTU with software 1.20 and earlier have hardcoded credentials in a ROM which makes it easier for remote attackers to obtain shell access to the underlying OS by leveraging knowledge of the ROM contents from a product installation elsewhere. ,Credentials Management Errors
A ClientSide Enforcement of ServerSide Security issue was discovered in ProMinent MultiFLEX M10a Controller web interface. The log out function in the application removes the user's session only on the client side. This may allow an attacker to bypass protection mechanisms gain privileges or assume the identity of an authenticated user. ,Incorrect Resource Transfer Between Spheres
Siemens SIMATIC STEP 7 (TIA Portal) before 14 improperly stores preshared key data in TIA project files which makes it easier for local users to obtain sensitive information by leveraging access to a file and conducting a bruteforce attack. ,Security Features like authentication; access control; confidentiality; cryptography; and privilege management
Tapplock Smart Lock Smart Home LwP,Improper Access Control
The iTrack device tracking ID number also called LosserID in the web API can be obtained by being in the range of an iTrack device. The tracker ID is the device's BLE MAC address. ,Improper Input Validation
An issue was discovered in Wavlink WN530HG4 Wavlink WN531G3 Wavlink WN533A8 and Wavlink WN551K1 affectingcgibin ExportAllSettings.sh where a crafted POST request returns the currentConfiguration of the device including the administrator password. No authentication is required. The attacker must perform a decryption step but all decryption information is readily available. ,Insufficiently Protected Credentials
NETGEAR R7800 devices before 1.0.2.60 are affected by command injection by an authenticated user. ,Improper Neutralization of Special Elements
An authenticationbypass issue was discovered on DLink DAP1522 devices 1.4x before 1.10b04Beta02. There exist a few pages that are directly accessible by any unauthorized user e.g. logout.php and login.php. This occurs because of checking the value of NO_NEED_AUTH. If the value of NO_NEED_AUTH is 1 the user has direct access to the webpage without any authentication. By appending a query string NO_NEED_AUTH with the value of 1 to any protected URL any unauthorized user can access the application directly as demonstrated by bsc_lan.php?NO_NEED_AUTH=1. ,Improper Authentication
Dahua DHIHCVR7216AS3 devices with NVR Firmware 3.210.0001.10 20160606 Camera Firmware 2.400.0000.28.R 20160329 and SmartPSS Software 1.16.1 20170119 send cleartext passwords in response to requests from the Web Page Mobile Application and Desktop Application interfaces which allows remote attackers to obtain sensitive information by sniffing the network a different vulnerability than CVE20136117. ,Missing Encryption of Sensitive Data
NETGEAR WiFi System Telecomm NA RBR50 Unknown,Improper Neutralization of Special Elements
An unspecified action handler in the management console in Symantec Endpoint Protection Manager (SEPM) 12.1 before 12.1RU6MP1 allows remote authenticated users to read arbitrary files via unknown vectors. ,Exposure of Sensitive Information to an Unauthorized Actor
