Vuln_ID,Brand,ProdType,Category,Price,Ydif,Protocols,DataStorage,PersonalInfo,CommCap,AuthEncryption,CWE-ID1,CWE-ID2,Information Gathering,Social Engineering,State Attack,Function Abuse,Brute Force,Illegal Access,Data Manipulation,Injection
CVE-2017-14416,D-Link,WiFi Router,Telecomm,133,1,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-14419,D-Link,WiFi Router,Telecomm,133,1,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-284,,1,1,0,0,0,1,1,1
CVE-2017-14420,D-Link,WiFi Router,Telecomm,133,1,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-284,,1,1,0,0,0,1,1,1
CVE-2017-16564,Grandstream,IP Phone,Telecomm,51,1,"TCPIP, DSP",Local,No,"Ethernet, DSL, ",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-16765,D-Link,Mobile Router,Telecomm,165,0,"TCPIP, MTP, DSP",Local,No,"WiFi, Ethernet, WAN, USB, LTE, MicroSD",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-16836,ARRIS,WiFi Router,Telecomm,114,0,"TCPIP, DSP, MTP",Local,No,"WiFi, Ethernet, USB, Coaxial, DSL",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-16843,Vonage,IP Phone,Telecomm,50,4,"TCPIP, DSP",Local,No,"Ethernet, DSL",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-17749,Bose,Smart Speaker,Smart Home,778,9,"TCPIP, GATT, MTP",Local,No,"WiFi, Ethernet, USB, Bluetooth",None,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-17750,Bose,Smart Speaker,Smart Home,778,9,"TCPIP, GATT, MTP",Local,No,"WiFi, Ethernet, USB, Bluetooth",None,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-17860,Samsung,Smart Watch,Wearable,299,2,"GATT, RF",Remote,Yes,"BLE, NFC",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18483,ANNKE,IP Camera,Smart Home,71,2,"TCPIP, MTP, RS232",Local,No,"WiFI, Ethernet, USB, Serial",None,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18484,CogniToys,Smart Toy,Other,59.99,1,TCPIP,Remote,Yes,WiFi,None,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18485,CogniToys,Smart Toy,Other,59.99,1,TCPIP,Remote,Yes,WiFi,None,CWE-693,,1,1,1,1,1,1,1,0
CVE-2017-18642,Syska,Smart Light,Smart Home,16,0,GATT,Remote,No,Bluetooth,Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2017-18700,NETGEAR,WiFi Router,Telecomm,518,1,"TCPIP, DSP, MTP",Local,No,"WiFi, Ethernet, WAN, USB, Phone",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18701,NETGEAR,WiFi Router,Telecomm,99,3,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18710,NETGEAR,WiFi Router,Telecomm,130,1,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2017-18715,NETGEAR,WiFi Extender,Telecomm,231,0,"TCPIP, MTP",Local,No,"WiFi, Ethernet, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18745,NETGEAR,WiFi Router,Telecomm,195,4,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18769,NETGEAR,WiFi Router,Telecomm,518,1,"TCPIP, DSP, MTP",Local,No,"WiFi, Ethernet, WAN, USB, Phone",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2017-18778,NETGEAR,WiFi Router,Telecomm,518,1,"TCPIP, DSP, MTP",Local,No,"WiFi, Ethernet, WAN, USB, Phone",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18783,NETGEAR,WiFi Router,Telecomm,174,4,"TCPIP, DSP, MTP",Local,No,"WiFi, Ethernet, DSL, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18784,NETGEAR,WiFi Router,Telecomm,174,4,"TCPIP, DSP, MTP",Local,No,"WiFi, Ethernet, DSL, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18785,NETGEAR,WiFi Router,Telecomm,174,4,"TCPIP, DSP, MTP",Local,No,"WiFi, Ethernet, DSL, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18789,NETGEAR,WiFi Router,Telecomm,130,1,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2017-18790,NETGEAR,WiFi Router,Telecomm,195,4,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2017-18797,NETGEAR,WiFi Router,Telecomm,130,1,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2017-18798,NETGEAR,WiFi Router,Telecomm,195,0,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18800,NETGEAR,WiFi Router,Telecomm,195,0,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18803,NETGEAR,WiFi Router,Telecomm,306,1,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB, eSATA",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18807,NETGEAR,Smart Storage,Smart Home,3908,0,"TCPIP, MTP",Local,Yes,"Ethernet, USB, e-SATA",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18809,NETGEAR,Smart Storage,Smart Home,3908,0,"TCPIP, MTP",Local,Yes,"Ethernet, USB, e-SATA",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18810,NETGEAR,Smart Storage,Smart Home,3908,0,"TCPIP, MTP",Local,Yes,"Ethernet, USB, e-SATA",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18811,NETGEAR,Smart Storage,Smart Home,3908,0,"TCPIP, MTP",Local,Yes,"Ethernet, USB, e-SATA",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18812,NETGEAR,Smart Storage,Smart Home,3908,0,"TCPIP, MTP",Local,Yes,"Ethernet, USB, e-SATA",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18813,NETGEAR,Smart Storage,Smart Home,3908,0,"TCPIP, MTP",Local,Yes,"Ethernet, USB, e-SATA",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18814,NETGEAR,Smart Storage,Smart Home,3908,0,"TCPIP, MTP",Local,Yes,"Ethernet, USB, e-SATA",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18815,NETGEAR,Smart Storage,Smart Home,3908,0,"TCPIP, MTP",Local,Yes,"Ethernet, USB, e-SATA",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18816,NETGEAR,Smart Storage,Smart Home,3908,0,"TCPIP, MTP",Local,Yes,"Ethernet, USB, e-SATA",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18820,NETGEAR,Smart Storage,Smart Home,3908,0,"TCPIP, MTP",Local,Yes,"Ethernet, USB, e-SATA",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-18847,NETGEAR,WiFi Router,Telecomm,130,1,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2017-18866,NETGEAR,WiFi Router,Telecomm,306,1,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB, eSATA",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-2111,I-O DATA,Smart Camera,Smart Home,241,1,"TCPIP, MTP",Local,No,"WiFi, Ethernet, MicroSD",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-2131,Panasonic,Smart Hub,Smart Home,89,2,"TCPIP, MTP",Local,No,"WiFi, MicroSD",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2017-2879,Foscam,WiFi Camera,Smart Home,49,2,"TCPIP, MTP",Remote,No,"WiFi, Ethernet, MicroSD",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2017-5249,Wink,Smart Home,Telecomm,99,1,"TCPIP, GATT, RF",Remote,Yes,"WiFi, Ethernet, BLE, Z-Wave, ZigBee, Lutron Clear Connect, Thread, Kidde",None,CWE-693,CWE-664,1,1,1,1,1,1,1,0
CVE-2017-5250,Wink,Smart Home,Telecomm,99,1,"TCPIP, GATT, RF",Remote,Yes,"WiFi, Ethernet, BLE, Z-Wave, ZigBee, Lutron Clear Connect, Thread, Kidde",None,CWE-693,CWE-664,1,1,1,1,1,1,1,0
CVE-2017-5251,Wink,Smart Home,Telecomm,99,1,"TCPIP, GATT, RF",Remote,Yes,"WiFi, Ethernet, BLE, Z-Wave, ZigBee, Lutron Clear Connect, Thread, Kidde",None,CWE-693,,1,1,1,1,1,1,1,0
CVE-2017-6341,Dahua,DVR,Other,266,1,"TCPIP, MTP, RS232",Local,No,"Ethernet, USB, Serial",Symmetric,CWE-693,,1,1,1,1,1,1,1,0
CVE-2017-7726,iSmartAlarm,Smart Alarm,Smart Home,100,2,"TCPIP, RF, MTP",Remote,Yes,"Ethernet, USB, ISM",None,CWE-284,,1,1,0,0,0,1,1,1
CVE-2017-7729,iSmartAlarm,Smart Alarm,Smart Home,100,2,"TCPIP, RF, MTP",Remote,Yes,"Ethernet, USB, ISM",None,CWE-693,,1,1,1,1,1,1,1,0
CVE-2017-7730,iSmartAlarm,Smart Alarm,Smart Home,100,2,"TCPIP, RF, MTP",Remote,Yes,"Ethernet, USB, ISM",None,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-8217,TP-Link,WiFi Router,Telecomm,29,0,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-284,,1,1,0,0,0,1,1,1
CVE-2017-8221,WIFICAM,WiFi Camera,Smart Home,,,,,,,,CWE-693,,1,1,1,1,1,1,1,0
CVE-2017-8865,CogniToys,Smart Toy,Other,60,1,TCPIP,Remote,Yes,WiFi,None,CWE-664,,0,0,0,0,0,1,0,0
CVE-2017-8866,CogniToys,Smart Toy,Other,60,1,TCPIP,Remote,Yes,WiFi,None,CWE-693,,1,1,1,1,1,1,1,0
CVE-2018-0316,Cisco,IP Phone,Telecomm,41,3,TCPIP,Local,No,Ethernet,Symmetric,CWE-703,,0,0,0,0,0,1,0,0
CVE-2018-0325,Cisco,IP Phone,Telecomm,41,3,TCPIP,Local,No,Ethernet,Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0341,Cisco,IP Phone,Telecomm,41,3,TCPIP,Local,No,Ethernet,Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0404,Cisco,WiFi Router,Telecomm,150,6,TCPIP,Local,No,"WiFi, Ethernet, WAN",None,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0521,Buffalo,WiFi Router,Telecomm,200,4,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-284,,1,1,0,0,0,1,1,1
CVE-2018-0522,Buffalo,WiFi Router,Telecomm,200,4,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2018-0523,Buffalo,WiFi Router,Telecomm,200,4,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0554,Buffalo,WiFi Router,Telecomm,36,0,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-284,,1,1,0,0,0,1,1,1
CVE-2018-0555,Buffalo,WiFi Router,Telecomm,36,0,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2018-0556,Buffalo,WiFi Router,Telecomm,36,0,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0581,ASUS,WiFi Router,Telecomm,199,1,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0582,ASUS,WiFi Router,Telecomm,158,1,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0583,ASUS,WiFi Router,Telecomm,33,3,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0625,NEC,WiFi Router,Telecomm,49,1,TCPIP,Local,No,"WiFi, Ethernet, WAN",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0626,NEC,WiFi Router,Telecomm,49,1,TCPIP,Local,No,"WiFi, Ethernet, WAN",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0627,NEC,WiFi Router,Telecomm,49,1,TCPIP,Local,No,"WiFi, Ethernet, WAN",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0628,NEC,WiFi Router,Telecomm,49,1,TCPIP,Local,No,"WiFi, Ethernet, WAN",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0629,NEC,WiFi Router,Telecomm,16,2,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0630,NEC,WiFi Router,Telecomm,16,2,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0631,NEC,WiFi Router,Telecomm,16,2,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0632,NEC,WiFi Router,Telecomm,16,2,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2018-0633,NEC,WiFi Router,Telecomm,16,2,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2018-0634,NEC,Smart Camera,Smart Home,209,0,"TCPIP, MTP",Local,No,"WiFi, Ethernet, InfraRed, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0635,NEC,Smart Camera,Smart Home,209,0,"TCPIP, MTP",Local,No,"WiFi, Ethernet, InfraRed, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0636,NEC,Smart Camera,Smart Home,209,0,"TCPIP, MTP",Local,No,"WiFi, Ethernet, InfraRed, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0637,NEC,Smart Camera,Smart Home,209,0,"TCPIP, MTP",Local,No,"WiFi, Ethernet, InfraRed, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0638,NEC,Smart Camera,Smart Home,209,0,"TCPIP, MTP",Local,No,"WiFi, Ethernet, InfraRed, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0639,NEC,Smart Camera,Smart Home,209,0,"TCPIP, MTP",Local,No,"WiFi, Ethernet, InfraRed, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0640,NEC,Smart Camera,Smart Home,209,0,"TCPIP, MTP",Local,No,"WiFi, Ethernet, InfraRed, USB",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2018-0641,NEC,Smart Camera,Smart Home,209,0,"TCPIP, MTP",Local,No,"WiFi, Ethernet, InfraRed, USB",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2018-0647,ASUS,WiFi Router,Telecomm,174,0,"TCPIP, MTP",Local,No,"WiFi, Ethernet, USB",Symmetric,CWE-693,,1,1,1,1,1,1,1,0
CVE-2018-0663,I-O DATA,Smart Camera,Smart Home,161,1,"TCPIP, MTP",Local,No,"WiFi, Ethernet, USB, MicroSD",Symmetric,CWE-284,,1,1,0,0,0,1,1,1
CVE-2018-0676,Panasonic,WiFi SD Reader,Other,319,4,"TCPIP, MTP",Local,No,"WiFi, SD, USB",Symmetric,CWE-284,,1,1,0,0,0,1,1,1
CVE-2018-0677,Panasonic,WiFi SD Reader,Other,319,4,"TCPIP, MTP",Local,No,"WiFi, SD, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-0678,Panasonic,WiFi SD Reader,Other,319,4,"TCPIP, MTP",Local,No,"WiFi, SD, USB",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2018-10091,AudioCodes,IP Phone,Telecomm,143,4,"TCPIP, DSP",Local,No,"Ethernet, Phone",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-10093,AudioCodes,IP Phone,Telecomm,143,4,"TCPIP, DSP",Local,No,"Ethernet, Phone",Symmetric,CWE-284,,1,1,0,0,0,1,1,1
CVE-2018-10106,D-Link,WiFi Router,Telecomm,55,8,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2018-10107,D-Link,WiFi Router,Telecomm,55,8,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-10108,D-Link,WiFi Router,Telecomm,55,8,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-10110,D-Link,WiFi Router,Telecomm,21,1,TCPIP,Local,No,"WiFi, Ethernet, WAN",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-10431,D-Link,WiFi Router,Telecomm,21,1,TCPIP,Local,No,"WiFi, Ethernet, WAN",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-10575,WatchGard,WiFi Access Point,Telecomm,359,5,TCPIP,Local,No,"WiFi, Ethernet",Symmetric,CWE-284,,1,1,0,0,0,1,1,1
CVE-2018-10576,WatchGard,WiFi Access Point,Telecomm,359,5,TCPIP,Local,No,"WiFi, Ethernet",Symmetric,CWE-284,,1,1,0,0,0,1,1,1
CVE-2018-10577,WatchGard,WiFi Access Point,Telecomm,359,5,TCPIP,Local,No,"WiFi, Ethernet",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2018-10578,WatchGard,WiFi Access Point,Telecomm,359,5,TCPIP,Local,No,"WiFi, Ethernet",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-10596,Medtronic,Cardiac Device Manager,Medical,3000,3,"TCPIP, MTP",Local,No,"WiFi, Ethernet, USB, PCMCIA",None,CWE-664,,0,0,0,0,0,1,0,0
CVE-2018-10597,Philips,Patient Monitor,Medical,2153,11,"TCPIP, RF",Local,No,"WiFi, Ethernet, ISM",None,CWE-664,,0,0,0,0,0,1,0,0
CVE-2018-10599,Philips,Patient Monitor,Medical,2153,11,"TCPIP, RF",Local,No,"WiFi, Ethernet, ISM",None,CWE-664,,0,0,0,0,0,1,0,0
CVE-2018-10601,Philips,Patient Monitor,Medical,2153,11,"TCPIP, RF",Local,No,"WiFi, Ethernet, ISM",None,CWE-664,,0,0,0,0,0,1,0,0
CVE-2018-10626,Medtronic,Heart Monitor,Medical,48,5,"GATT, DSP",Local,No,"Cellular, Bluetooth",none,CWE-693,,1,1,1,1,1,1,1,0
CVE-2018-10641,D-Link,WiFi Router,Telecomm,91,7,TCPIP,Local,No,"WiFi, Ethernet, WAN",Symmetric,CWE-284,,1,1,0,0,0,1,1,1
CVE-2018-10746,D-Link,WiFi Router,Telecomm,53,2,"TCPIP, DSP, MTP",Local,No,"WiFi, Ethernet, DSL, USB",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2018-10747,D-Link,WiFi Router,Telecomm,53,2,"TCPIP, DSP, MTP",Local,No,"WiFi, Ethernet, DSL, USB",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2018-10748,D-Link,WiFi Router,Telecomm,53,2,"TCPIP, DSP, MTP",Local,No,"WiFi, Ethernet, DSL, USB",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2018-10749,D-Link,WiFi Router,Telecomm,200,2,"TCPIP, DSP, MTP",Local,No,"WiFi, Ethernet, DSL, USB",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2018-10750,D-Link,WiFi Router,Telecomm,93,2,"TCPIP, DSP, MTP",Local,No,"WiFi, Ethernet, DSL, USB",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2018-10822,D-Link,WiFi Router,Telecomm,21,4,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2018-10823,D-Link,WiFi Router,Telecomm,34,4,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-10824,D-Link,WiFi Router,Telecomm,34,4,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-284,CWE-664,1,1,0,0,0,1,1,1
CVE-2018-10957,D-Link,WiFi Router,Telecomm,34,5,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-693,,1,1,1,1,1,1,1,0
CVE-2018-10967,D-Link,WiFi Router,Telecomm,34,5,TCPIP,Local,No,"WiFi, Ethernet, WAN",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-10968,D-Link,WiFi Router,Telecomm,34,5,TCPIP,Local,No,"WiFi, Ethernet, WAN",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2018-11019,Kindle,Tablet,Smart Home,34,5,"TCPIP, GATT, MTP",Local,Yes,"WiFi, Bluetooth, USB",None,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-11020,Kindle,Tablet,Smart Home,51,5,"TCPIP, GATT, MTP",Local,Yes,"WiFi, Bluetooth, USB",None,CWE-707,,0,0,0,1,0,0,1,1
CVE-2018-11021,Kindle,Tablet,Smart Home,51,5,"TCPIP, GATT, MTP",Local,Yes,"WiFi, Bluetooth, USB",None,CWE-707,,0,0,0,1,0,0,1,1
